name,map,recip_rank,ndcg_cut_10,mrt,map +,map -,map p-value,map reject,map p-value corrected,recip_rank +,recip_rank -,recip_rank p-value,recip_rank reject,recip_rank p-value corrected,ndcg_cut_10 +,ndcg_cut_10 -,ndcg_cut_10 p-value,ndcg_cut_10 reject,ndcg_cut_10 p-value corrected
BM25,0.2977693169616595,0.7242203035396537,0.4513667136754421,28.98694731183857,NaN,NaN,NaN,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,NaN,False,NaN
BM25_RM3_COLBERT_ANCE,0.20790605843032364,0.6799592737199838,0.35057102953779234,15732.334629032264,26.0,66.0,7.011397216516303e-08,True,4.2068383299097816e-07,22.0,29.0,0.36676319345948094,False,1.0,26.0,58.0,4.16204685350991e-05,True,0.0002497228112105946
BM25_RM3_ANCE_COLBERT,0.2858379761719527,0.7020845716125731,0.43225143067736244,92899.8885182796,48.0,44.0,0.3958688158567013,False,1.0,21.0,24.0,0.584326752649307,False,1.0,39.0,45.0,0.3596925510426743,False,1.0
BM25_COLBERT_RM3_ANCE,0.20539396850051272,0.6794133426932156,0.3482930562580632,15730.83324516131,26.0,66.0,2.0038834743641384e-08,True,1.202330084618483e-07,23.0,28.0,0.35566204680364744,False,1.0,26.0,58.0,2.1783223020423894e-05,True,0.00013069933812254335
BM25_COLBERT_ANCE_RM3,0.31748225253962176,0.6868417288193369,0.47792862940828956,62.32237419356362,57.0,35.0,0.06347501573374127,False,0.38085009440244766,21.0,24.0,0.31237022915073787,False,1.0,45.0,33.0,0.10204893462914415,False,0.6122936077748649
BM25_ANCE_RM3_COLBERT,0.28517010021853295,0.7012971586071912,0.43137279058184863,92894.69728279566,46.0,46.0,0.36984109930649456,False,1.0,20.0,25.0,0.5710592760610497,False,1.0,39.0,45.0,0.33826594279454403,False,1.0
BM25_ANCE_COLBERT_RM3,0.3185296629819881,0.7080160320475833,0.48055183367348,61.703536559180456,57.0,34.0,0.043129517071331065,False,0.2587771024279864,22.0,21.0,0.6467511915998077,False,1.0,49.0,29.0,0.07675209244408893,False,0.46051255466453356
