name,map,recip_rank,ndcg_cut_10,mrt,map +,map -,map p-value,map reject,map p-value corrected,recip_rank +,recip_rank -,recip_rank p-value,recip_rank reject,recip_rank p-value corrected,ndcg_cut_10 +,ndcg_cut_10 -,ndcg_cut_10 p-value,ndcg_cut_10 reject,ndcg_cut_10 p-value corrected
BM25,0.14894936109454282,0.5353228990320121,0.3231775993461975,15.783901547993448,NaN,NaN,NaN,False,NaN,NaN,NaN,NaN,False,NaN,NaN,NaN,NaN,False,NaN
BM25_RM3,0.17156653905191765,0.5347899074368049,0.3395891857269352,58.19418049534708,223.0,53.0,3.395492601994703e-17,True,1.018647780598411e-16,64.0,41.0,0.9226563223715745,False,1.0,95.0,61.0,7.026212126640306e-05,True,0.00021078636379920918
BM25_COLBERT,0.14566911964695795,0.539231335434386,0.3215851801226822,34471.51814736841,117.0,106.0,0.4859600016263128,False,1.0,71.0,62.0,0.8114777526418313,False,1.0,93.0,89.0,0.8409324134842342,False,1.0
BM25_ANCE,0.1386161221633977,0.5311333946949753,0.2943764731548181,6368.931700000009,99.0,127.0,0.07607609063342809,False,0.22822827190028427,72.0,68.0,0.8159406498740898,False,1.0,77.0,113.0,0.002125468902193739,True,0.006376406706581217
